"","perksite","distance","envsites"
"1","ABERDEENROCK",0.0501442743391522,"LE4.2"
"2","BARNPOINT",0.0501442743391522,"LE4.2"
"3","BARNSPOINT",0.0501442743391522,"LE4.2"
"4","BELLROCK",0.0462158139385146,"RET4.3"
"5","BOWLERSROCK",0.0290475482270038,"RET3.2"
"6","BROADCREEK",0.0466193235579389,"LE3.7"
"7","BURTONPOINT",0.0267967316850346,"LE3.7"
"8","DEEPWATERSHOAL",0.0555763616027575,"LE5.1"
"9","DRUMMINGGROUND",0.0246388225773791,"LE3.4"
"10","DRUMMONDGROUND",0.0246388225773791,"LE3.4"
"11","DRYSHOAL",0.012087763151223,"LE5.2"
"12","DRYSHOALS",0.012087763151223,"LE5.2"
"13","FLEETPOINT",0.114359557615443,"CB5.4"
"14","GINNEYPOINT",0.0678496871244884,"WE4.1"
"15","HAYNIEBAR",0.137722632918485,"CB5.4"
"16","HOGHOUSEROCK",0.0338982005422071,"LE3.2"
"17","HOGHOUSEROCK",0.0338952835804588,"LE3.2"
"18","HOGISLAND",0,"ET5.1"
"19","HORSEHEADROCK",0.0654759233459186,"LE5.2"
"20","LONGPOINT(S)",0.177740880410224,"ET4.2"
"21","LONGROCK",0.00403595094123098,"RET3.2"
"22","LONGSHOAL",0.0315219261625949,"LE5.2"
"23","MIDDLEGROUND",0.0587970575624273,"LE3.4"
"24","MORATTICO",0.0473194173463614,"LE3.1"
"25","MULBERRYPOINT",0.0741788513594051,"LE5.2"
"26","NANSEMONDRIDGE",0.159252390807788,"LE5.5-W"
"27","PALACEBAR",0.0635175300920915,"LE3.7"
"28","PARROTROCK",0.0740495429965612,"LE3.2"
"29","POINTOFSHOAL",0.0544635385280867,"LE5.2"
"30","POINTOFSHOALS",0.0544635385280867,"LE5.2"
"31","PULTZBAR",0.0417402665180784,"WE4.1"
"32","ROSSROCK",0.0367840804968564,"RET3.1"
"33","SMOKEYPOINT",0.0523692571839663,"LE3.1"
"34","SWASH",0.0409714746866684,"LE5.2"
"35","THOMASROCK",0.103253354512082,"LE5.2"
"36","TOWSTAKE",0.0481160789965282,"WE4.1"
"37","WHALEYS",0.125627006527253,"CB5.4"
"38","WRECKSHOAL",0.0212785041297545,"LE5.2"
"39","DEEPNECK",0.159417435774756,"CB3.3W"
"40","BUOYROCK",0.0955386322803511,"CB3.2"
"41","OLDFIELD(S)",0.0165702863282392,"CB3.2"
"42","COOKPOINT(S)",0.077904686636943,"CB3.3W"
"43","LIGHTHOUSE",0.0862217579152754,"ET4.2"
"44","OYSTERSHELLPOINT",0.122903316545972,"ET4.2"
"45","ROYSTON",0.10527785036749,"CB3.3W"
"46","SANDYHILL(S)",0.0149226746262169,"ET4.2"
"47","BUGBY",0.212200527541762,"CB3.2"
"48","HOLLICUTNOOSE",0.0562761772777848,"EE3.1"
"49","PARSONSISLAND",0.203907533134509,"CB3.2"
"50","GOOSECREEK",0.110359936652757,"EE3.0"
"51","TILGHMANWHARF",0.138460020865235,"CB3.3W"
"52","HOLLANDSTRAITS",0.0562761772777848,"EE3.1"
"53","NORMANADDITION",0.0621744285779929,"EE2.2"
"54","CASON(S)",0.0583791259698249,"CB3.3W"
"55","BUTLER",0.0402076996233262,"LE2.2"
"56","GEORGES(S)",0.288091940097256,"ET5.2"
"57","FLAGPOND",0.121944252611593,"ET5.1"
"58","HACKETTPOINT",0.244610852616955,"ET6.2"
"59","HOLLANDPOINT(S)",0.304375087774944,"CB3.3W"
"60","STONEROCK",0.141607669990012,"CB3.3W"
"61","TURTLEBACK",0.239282157918221,"CB3.2"
"62","WILSONSHOALS(S)",0.331886790785658,"CB3.2"
"63","BROOMEISLAND",0.190205694827992,"ET5.1"
"64","MARUMSCO",0.333151369167224,"EE3.1"
"65","CORNFIELDHARBOR",0.0491251240100193,"LE2.2"
"66","LOWERCEDARPOINT",0.446039953566941,"RET3.1"
"67","PAGAN(S)",0.1187138614021,"LE1.1"
"68","BACKCOVE",0.0775611158893434,"EE3.1"
"69","PINEYISLANDEASY",0.140133385386916,"EE3.1"
"70","SHARKFINSHOAL",0.0482368951944447,"EE3.0"
"71","SWANPOINT",0.133292068364932,"CB3.2"
"72","LANCASTER",0.358739047467655,"RET3.1"
"73","MILLSWEST",0.419121336104476,"RET3.1"
"74","BRUFFSISLAND",0.2240453678566,"CB3.2"
