"Year","State","Month","Region","Site","Lat","Long","Prevalence","MonitoringLocation","Mean.Intensity"
1992,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"95","LE3.4",1.08
1996,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"84","LE3.4",1.96
1997,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"100","LE3.4",2.52
1998,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"100","LE3.4",1.72
1998,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"100","LE3.4",1.72
1999,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"100","LE3.4",2.52
2000,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"96","LE3.4",2.88
2001,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"100","LE3.4",2.28
2002,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"96","LE3.4",3.04
2003,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"92","LE3.4",2.12
2004,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"84","LE3.4",1.6
2005,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"73","LE3.4",2.363636364
2006,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"64","LE3.4",1.041666667
2007,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"72","LE3.4",2.166666667
2008,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"72","LE3.4",1.6
2013,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"71","LE3.4",1.375
2014,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"84","LE3.4",2.04
2015,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"80","LE3.4",2
2016,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"84","LE3.4",1.88
2017,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"84","LE3.4",1.8
2018,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"80","LE3.4",1.92
2019,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"88","LE3.4",1.84
2020,"VA","September","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"64","LE3.4",1.52
2021,"VA","September","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"80","LE3.4",1.92
2009,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"96","LE3.4",2.6
2010,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"92","LE3.4",2.4
2011,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"96","LE3.4",2.3
2012,"VA","October","CORROTOMAN RIVER","MIDDLE GROUND",37.683333,-76.473333,"84","LE3.4",2.1
1991,"VA","January","EASTERN SHORE","HOG ISLAND ",38.313117,-76.3947,"4","ET5.1",0.04
1991,"VA","July","EASTERN SHORE","HOG ISLAND ",38.313117,-76.3947,"32","ET5.1",0.48
2015,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"52","CB5.4",1
1990,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84","CB5.4",1.16
1991,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"88","CB5.4",1.2
1992,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"96","CB5.4",1.32
1993,"VA","September","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"76","CB5.4",0.84
1996,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"92","CB5.4",1.16
1997,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"64","CB5.4",0.8
1998,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84","CB5.4",0.84
1998,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84","CB5.4",0.84
1999,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"88","CB5.4",1.12
2000,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"100","CB5.4",2.04
2001,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"92","CB5.4",2.2
2002,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"88","CB5.4",2
2003,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"88","CB5.4",1.76
2004,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"71","CB5.4",1.583333333
2005,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"76","CB5.4",1.4
2006,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"72","CB5.4",1.84
2007,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"80","CB5.4",2
2008,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"80","CB5.4",1.68
2013,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"64","CB5.4",1.2
2014,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"92","CB5.4",1.72
2015,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84","CB5.4",2.04
2016,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"92","CB5.4",2.28
2017,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"72","CB5.4",1.52
2018,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"68","CB5.4",1.96
