"","perksite","distance","envsites"
"1","ABERDEENROCK",0.0501442743391522,"LE4.2"
"2","BARNSPOINT",0.0501442743391522,"LE4.2"
"3","BELLROCK",0.0462158139385146,"RET4.3"
"4","BOWLERSROCK",0.0290475482270038,"RET3.2"
"5","BROADCREEK",0.0466193235579389,"LE3.7"
"6","BURTONPOINT",0.0267967316850346,"LE3.7"
"7","DEEPWATERSHOAL",0.0555763616027575,"LE5.1"
"8","DRUMMINGGROUND",0.0246388225773791,"LE3.4"
"9","DRYSHOAL",0.012087763151223,"LE5.2"
"10","FLEETPOINT",0.114359557615443,"CB5.4"
"11","GINNEYPOINT",0.0678496871244884,"WE4.1"
"12","HAYNIEBAR",0.137722632918485,"CB5.4"
"13","HOGHOUSEROCK",0.0338982005422071,"LE3.2"
"14","HOGHOUSEROCK",0.0338952835804588,"LE3.2"
"15","HOGISLAND",0,"ET5.1"
"16","HORSEHEADROCK",0.0654759233459186,"LE5.2"
"17","LONGPOINT(S)",0.177740880410218,"ET4.2"
"18","LONGROCK",0.00403595094123098,"RET3.2"
"19","LONGSHOAL",0.0315219261625949,"LE5.2"
"20","MIDDLEGROUND",0.0587970575624273,"LE3.4"
"21","MORATTICO",0.0473194173463614,"LE3.1"
"22","MULBERRYPOINT",0.0741788513594051,"LE5.2"
"23","NANSEMONDRIDGE",0.159252390807788,"LE5.5-W"
"24","PALACEBAR",0.0635175300920915,"LE3.7"
"25","PARROTROCK",0.0740495429965612,"LE3.2"
"26","POINTOFSHOAL",0.0544635385280867,"LE5.2"
"27","PULTZBAR",0.0417402665180784,"WE4.1"
"28","ROSSROCK",0.0367840804968564,"RET3.1"
"29","SMOKEYPOINT",0.0523692571839663,"LE3.1"
"30","SWASH",0.0409714746866684,"LE5.2"
"31","THOMASROCK",0.103253354512082,"LE5.2"
"32","TOWSTAKE",0.0481160789965282,"WE4.1"
"33","WHALEYS",0.125627006527253,"CB5.4"
"34","WRECKSHOAL",0.0212785041297545,"LE5.2"
"35","DEEPNECK",0.159417435774756,"CB3.3W"
"36","BUOYROCK",0.00221542275875443,"ET4.2"
"37","OLDFIELD(S)",0.0165702863282392,"CB3.2"
"38","COOKPOINT(S)",0.077904686636943,"CB3.3W"
"39","LIGHTHOUSE",0.0862217579152703,"ET4.2"
"40","OYSTERSHELLPOINT",0.122903316545973,"ET4.2"
"41","ROYSTON",0.10527785036749,"CB3.3W"
"42","SANDYHILL(S)",0.0149226746262159,"ET4.2"
"43","BUGBY",0.117094057445291,"ET4.2"
"44","HOLLICUTNOOSE",0.0562761772777848,"EE3.1"
"45","PARSONSISLAND",0.106470812004981,"ET4.2"
"46","GOOSECREEK",0.110359936652757,"EE3.0"
"47","TILGHMANWHARF",0.138460020865235,"CB3.3W"
"48","HOLLANDSTRAITS",0.0562761772777848,"EE3.1"
"49","NORMANADDITION",0.0621744285779929,"EE2.2"
"50","CASON(S)",0.0583791259698249,"CB3.3W"
"51","BUTLER",0.0402076996233262,"LE2.2"
"52","GEORGES(S)",0.288091940097256,"ET5.2"
"53","FLAGPOND",0.121944252611593,"ET5.1"
"54","HACKETTPOINT",0.159761714493806,"CB4.1W"
"55","HOLLANDPOINT(S)",0.0900729403206056,"CB4.1W"
"56","STONEROCK",0.141607669990012,"CB3.3W"
"57","TURTLEBACK",0.142849835344674,"ET4.2"
"58","WILSONSHOALS(S)",0.331886790785658,"CB3.2"
"59","BROOMEISLAND",0.190205694827992,"ET5.1"
"60","MARUMSCO",0.333151369167224,"EE3.1"
"61","CORNFIELDHARBOR",0.0491251240100193,"LE2.2"
"62","LOWERCEDARPOINT",0.0301199212814417,"RET2.4"
"63","PAGAN(S)",0.118713861402113,"LE1.1"
"64","BACKCOVE",0.0775611158893434,"EE3.1"
"65","PINEYISLANDEASY",0.140133385386916,"EE3.1"
"66","SHARKFINSHOAL",0.0482368951944447,"EE3.0"
"67","SWANPOINT",0.133292068364932,"CB3.2"
"68","LANCASTER",0.18752378488608,"RET2.4"
"69","MILLSWEST",0.133254144768558,"RET2.4"
"70","BRUFFSISLAND",0.133703763963473,"ET4.2"
