"MonitoringLocation","SampleDate","Depth","Layer","Parameter","MeasureValue","Unit","Latitude","Longitude","Month","Year"
"LE5.5-W","1999-01-11",1,"S","WTEMP",4.63,"DEG C",36.99903,-76.31328,1,1999
"LE5.5-W","1999-01-11",1,"S","PH",7.75,"SU",36.99903,-76.31328,1,1999
"LE5.5-W","1999-01-11",1,"S","SALINITY",21.07,"PPT",36.99903,-76.31328,1,1999
"LE5.5-W","1999-02-08",1,"S","PH",7.98,"SU",36.99903,-76.31328,2,1999
"LE5.5-W","1999-02-08",1,"S","SALINITY",20.02907,"PPT",36.99903,-76.31328,2,1999
"LE5.5-W","1999-02-08",1,"S","WTEMP",8.36,"DEG C",36.99903,-76.31328,2,1999
"LE5.5-W","1999-03-16",1,"S","PH",7.69,"SU",36.99903,-76.31328,3,1999
"LE5.5-W","1999-03-16",1,"S","SALINITY",20.46,"PPT",36.99903,-76.31328,3,1999
"LE5.5-W","1999-03-16",1,"S","WTEMP",6.42,"DEG C",36.99903,-76.31328,3,1999
"LE5.5-W","1999-04-12",1,"S","PH",7.84,"SU",36.99903,-76.31328,4,1999
"LE5.5-W","1999-04-12",1,"S","SALINITY",19.6,"PPT",36.99903,-76.31328,4,1999
"LE5.5-W","1999-04-12",1,"S","WTEMP",13.17,"DEG C",36.99903,-76.31328,4,1999
"LE5.5-W","1999-05-10",1,"S","PH",7.82,"SU",36.99903,-76.31328,5,1999
"LE5.5-W","1999-05-10",1,"S","SALINITY",19.47,"PPT",36.99903,-76.31328,5,1999
"LE5.5-W","1999-05-10",1,"S","WTEMP",17.79,"DEG C",36.99903,-76.31328,5,1999
"LE5.5-W","1999-06-21",1,"S","PH",7.87,"SU",36.99903,-76.31328,6,1999
"LE5.5-W","1999-06-21",1,"S","SALINITY",21.59,"PPT",36.99903,-76.31328,6,1999
"LE5.5-W","1999-06-21",1,"S","WTEMP",21.4,"DEG C",36.99903,-76.31328,6,1999
"LE5.5-W","1999-07-08",1,"S","PH",7.82,"SU",36.99903,-76.31328,7,1999
"LE5.5-W","1999-07-08",1,"S","SALINITY",23.5,"PPT",36.99903,-76.31328,7,1999
"LE5.5-W","1999-07-08",1,"S","WTEMP",26.84,"DEG C",36.99903,-76.31328,7,1999
"LE5.5-W","1999-07-21",1,"S","PH",8.09,"SU",36.99903,-76.31328,7,1999
"LE5.5-W","1999-07-21",1,"S","SALINITY",22.52,"PPT",36.99903,-76.31328,7,1999
"LE5.5-W","1999-07-21",1,"S","WTEMP",26.89,"DEG C",36.99903,-76.31328,7,1999
"LE5.5-W","1999-08-03",1,"S","PH",7.92,"SU",36.99903,-76.31328,8,1999
"LE5.5-W","1999-08-03",1,"S","SALINITY",24.32,"PPT",36.99903,-76.31328,8,1999
"LE5.5-W","1999-08-03",1,"S","WTEMP",28.14,"DEG C",36.99903,-76.31328,8,1999
"LE5.5-W","1999-08-18",1,"S","PH",7.83,"SU",36.99903,-76.31328,8,1999
"LE5.5-W","1999-08-18",1,"S","SALINITY",23.7,"PPT",36.99903,-76.31328,8,1999
"LE5.5-W","1999-08-18",1,"S","WTEMP",27.95,"DEG C",36.99903,-76.31328,8,1999
"LE5.5-W","1999-09-21",1,"S","PH",8.1,"SU",36.99903,-76.31328,9,1999
"LE5.5-W","1999-09-21",1,"S","SALINITY",14.05,"PPT",36.99903,-76.31328,9,1999
"LE5.5-W","1999-09-21",1,"S","WTEMP",22.69,"DEG C",36.99903,-76.31328,9,1999
"LE5.5-W","1999-10-04",1,"S","PH",7.76,"SU",36.99903,-76.31328,10,1999
"LE5.5-W","1999-10-04",1,"S","SALINITY",16.58,"PPT",36.99903,-76.31328,10,1999
"LE5.5-W","1999-10-04",1,"S","WTEMP",21.92,"DEG C",36.99903,-76.31328,10,1999
"LE5.5-W","1999-11-02",1,"S","PH",7.76,"SU",36.99903,-76.31328,11,1999
"LE5.5-W","1999-11-02",1,"S","SALINITY",18.54,"PPT",36.99903,-76.31328,11,1999
"LE5.5-W","1999-11-02",1,"S","WTEMP",16.92,"DEG C",36.99903,-76.31328,11,1999
"LE5.5-W","1999-12-13",1,"S","PH",7.86,"SU",36.99903,-76.31328,12,1999
"LE5.5-W","1999-12-13",1,"S","SALINITY",22.5,"PPT",36.99903,-76.31328,12,1999
"LE5.5-W","1999-12-13",1,"S","WTEMP",10.12,"DEG C",36.99903,-76.31328,12,1999
"LE5.5-W","2000-02-01",1,"S","PH",7.61,"SU",36.99903,-76.31328,2,2000
"LE5.5-W","2000-02-01",1,"S","SALINITY",20.72,"PPT",36.99903,-76.31328,2,2000
"LE5.5-W","2000-02-01",1,"S","WTEMP",1.85,"DEG C",36.99903,-76.31328,2,2000
"LE5.5-W","2000-02-16",1,"S","PH",7.94,"SU",36.99903,-76.31328,2,2000
"LE5.5-W","2000-02-16",1,"S","SALINITY",21.49,"PPT",36.99903,-76.31328,2,2000
"LE5.5-W","2000-02-16",1,"S","WTEMP",5.18,"DEG C",36.99903,-76.31328,2,2000
"LE5.5-W","2000-03-16",1,"S","PH",7.87,"SU",36.99903,-76.31328,3,2000
"LE5.5-W","2000-03-16",1,"S","SALINITY",21.4,"PPT",36.99903,-76.31328,3,2000
"LE5.5-W","2000-03-16",1,"S","WTEMP",11.4,"DEG C",36.99903,-76.31328,3,2000
"LE5.5-W","2000-04-26",1,"S","PH",7.81,"SU",36.99903,-76.31328,4,2000
"LE5.5-W","2000-04-26",1,"S","SALINITY",18.35,"PPT",36.99903,-76.31328,4,2000
"LE5.5-W","2000-04-26",1,"S","WTEMP",13.28,"DEG C",36.99903,-76.31328,4,2000
"LE5.5-W","2000-05-26",1,"S","PH",6.78,"SU",36.99903,-76.31328,5,2000
"LE5.5-W","2000-05-26",1,"S","SALINITY",20.37,"PPT",36.99903,-76.31328,5,2000
"LE5.5-W","2000-05-26",1,"S","WTEMP",22.12,"DEG C",36.99903,-76.31328,5,2000
"LE5.5-W","2000-06-12",1,"S","PH",7.73,"SU",36.99903,-76.31328,6,2000
"LE5.5-W","2000-06-12",1,"S","SALINITY",19.69,"PPT",36.99903,-76.31328,6,2000
"LE5.5-W","2000-06-12",1,"S","WTEMP",22.78,"DEG C",36.99903,-76.31328,6,2000
"LE5.5-W","2000-07-14",1,"S","PH",8.37,"SU",36.99903,-76.31328,7,2000
"LE5.5-W","2000-07-14",1,"S","SALINITY",22.57,"PPT",36.99903,-76.31328,7,2000
"LE5.5-W","2000-07-14",1,"S","WTEMP",25.37,"DEG C",36.99903,-76.31328,7,2000
"LE5.5-W","2000-07-28",1,"S","PH",8.22,"SU",36.99903,-76.31328,7,2000
"LE5.5-W","2000-07-28",1,"S","SALINITY",19.77,"PPT",36.99903,-76.31328,7,2000
"LE5.5-W","2000-07-28",1,"S","WTEMP",25.77,"DEG C",36.99903,-76.31328,7,2000
"LE5.5-W","2000-08-07",1,"S","PH",8,"SU",36.99903,-76.31328,8,2000
"LE5.5-W","2000-08-07",1,"S","SALINITY",20.34,"PPT",36.99903,-76.31328,8,2000
"LE5.5-W","2000-08-07",1,"S","WTEMP",27.27,"DEG C",36.99903,-76.31328,8,2000
"LE5.5-W","2000-08-25",1,"S","PH",8.05,"SU",36.99903,-76.31328,8,2000
"LE5.5-W","2000-08-25",1,"S","SALINITY",20.25,"PPT",36.99903,-76.31328,8,2000
"LE5.5-W","2000-08-25",1,"S","WTEMP",25.24,"DEG C",36.99903,-76.31328,8,2000
"LE5.5-W","2000-09-14",1,"S","PH",8.14,"SU",36.99903,-76.31328,9,2000
"LE5.5-W","2000-09-14",1,"S","SALINITY",19.8,"PPT",36.99903,-76.31328,9,2000
"LE5.5-W","2000-09-14",1,"S","WTEMP",25.45,"DEG C",36.99903,-76.31328,9,2000
