MonitoringLocation,SampleDate,Depth,Layer,Parameter,MeasureValue,Unit,Latitude,Longitude
CB3.2,1/10/90,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,1/10/90,0.5,S ,SALINITY,9.72,PPT,39.08397,-76.18145
CB3.2,1/10/90,0.5,S ,WTEMP,0.9,DEG C,39.08397,-76.18145
CB3.2,1/11/01,0.5,S ,PH,8.1,SU,39.08397,-76.18145
CB3.2,1/11/01,0.5,S ,SALINITY,10.5,PPT,39.08397,-76.18145
CB3.2,1/11/01,0.5,S ,WTEMP,0.6,DEG C,39.08397,-76.18145
CB3.2,1/11/06,0.5,S ,PH,8.6,SU,39.08397,-76.18145
CB3.2,1/11/06,0.5,S ,SALINITY,3.35,PPT,39.08397,-76.18145
CB3.2,1/11/06,0.5,S ,WTEMP,4.6,DEG C,39.08397,-76.18145
CB3.2,1/11/95,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,1/11/95,0.5,S ,SALINITY,9.4,PPT,39.08397,-76.18145
CB3.2,1/11/95,0.5,S ,WTEMP,2.9,DEG C,39.08397,-76.18145
CB3.2,1/12/05,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,1/12/05,0.5,S ,SALINITY,0.35,PPT,39.08397,-76.18145
CB3.2,1/12/05,0.5,S ,WTEMP,4.5,DEG C,39.08397,-76.18145
CB3.2,1/12/07,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,1/12/07,0.5,S ,SALINITY,1.73,PPT,39.08397,-76.18145
CB3.2,1/12/07,0.5,S ,WTEMP,5.8,DEG C,39.08397,-76.18145
CB3.2,1/12/12,0.5,S ,PH,7.8,SU,39.08397,-76.18145
CB3.2,1/12/12,0.5,S ,SALINITY,3.34,PPT,39.08397,-76.18145
CB3.2,1/12/12,0.5,S ,WTEMP,5.2,DEG C,39.08397,-76.18145
CB3.2,1/13/10,0.5,S ,PH,8.1,SU,39.08397,-76.18145
CB3.2,1/13/10,0.5,S ,SALINITY,6.25,PPT,39.08397,-76.18145
CB3.2,1/13/10,0.5,S ,WTEMP,-0.1,DEG C,39.08397,-76.18145
CB3.2,1/13/88,0.5,S ,PH,7.5,SU,39.08397,-76.18145
CB3.2,1/13/88,0.5,S ,SALINITY,8.57,PPT,39.08397,-76.18145
CB3.2,1/13/88,0.5,S ,WTEMP,-0.4,DEG C,39.08397,-76.18145
CB3.2,1/13/99,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,1/13/99,0.5,S ,SALINITY,12.9926,PPT,39.08397,-76.18145
CB3.2,1/13/99,0.5,S ,WTEMP,1.2,DEG C,39.08397,-76.18145
CB3.2,1/14/04,0.5,S ,PH,7.6,SU,39.08397,-76.18145
CB3.2,1/14/04,0.5,S ,SALINITY,1.34,PPT,39.08397,-76.18145
CB3.2,1/14/04,0.5,S ,WTEMP,0.9,DEG C,39.08397,-76.18145
CB3.2,1/15/15,0.5,S ,PH,8,SU,39.08397,-76.18145
CB3.2,1/15/15,0.5,S ,SALINITY,5.45,PPT,39.08397,-76.18145
CB3.2,1/15/15,0.5,S ,WTEMP,0.4,DEG C,39.08397,-76.18145
CB3.2,1/16/03,0.5,S ,PH,7.4,SU,39.08397,-76.18145
CB3.2,1/16/03,0.5,S ,SALINITY,3.47,PPT,39.08397,-76.18145
CB3.2,1/16/03,0.5,S ,WTEMP,0.8,DEG C,39.08397,-76.18145
CB3.2,1/17/08,0.5,S ,PH,7.7,SU,39.08397,-76.18145
CB3.2,1/17/08,0.5,S ,SALINITY,3.47,PPT,39.08397,-76.18145
CB3.2,1/17/08,0.5,S ,WTEMP,4,DEG C,39.08397,-76.18145
CB3.2,1/17/19,0.5,S ,PH,8.2,SU,39.08397,-76.18145
CB3.2,1/17/19,0.5,S ,SALINITY,2.7,PPT,39.08397,-76.18145
CB3.2,1/17/19,0.5,S ,WTEMP,3,DEG C,39.08397,-76.18145
CB3.2,1/18/13,0.5,S ,PH,7.9,SU,39.08397,-76.18145
CB3.2,1/18/13,0.5,S ,SALINITY,6.37,PPT,39.08397,-76.18145
CB3.2,1/18/13,0.5,S ,WTEMP,5.2,DEG C,39.08397,-76.18145
