"Year","Month","MonitoringLocation","SampleDate","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","Prev_ratio","oysteryear","Prev_ep","WTEMP","Lat_Env","Long_Env"
1990,"Apr","CB3.2",1990-04-04,4.48,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,93,2.98214285714286,0.93,1990,0.93,8.2,"39.083970000000001",-76.18145
1990,"Apr","EE2.2",1990-04-03,11.28,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,100,3.93333333333333,1,1990,0.999999,9.3,"38.319420000000001",-76.14587
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,23,1.21428571428571,0.23,1990,0.23,10.1,"38.165320000000001",-76.00854
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,60,2.94444444444444,0.6,1990,0.6,10.1,"38.165320000000001",-76.00854
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,97,3.74137931034483,0.97,1990,0.97,9.3,"38.071159999999999",-76.04566
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,100,3.86666666666667,1,1990,0.999999,9.3,"38.071159999999999",-76.04566
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,100,2.8,1,1990,0.999999,9.3,"38.071159999999999",-76.04566
1990,"Apr","ET4.2",1990-04-04,7.93,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,100,4.11666666666667,1,1990,0.999999,8.7,"38.596419999999995",-76.12821
1990,"Apr","ET5.2",1990-04-02,8.06,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,83,2.02,0.83,1990,0.83,10.1,"38.395020000000002",-76.11291
1990,"Aug","CB3.2",1990-08-01,6.68,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,93,2.98214285714286,0.93,1990,0.93,25.1,"39.083970000000001",-76.18145
1990,"Aug","EE2.2",1990-08-14,12.07,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,100,3.93333333333333,1,1990,0.999999,26.8,"38.319420000000001",-76.14587
1990,"Aug","EE3.0",1990-08-16,12.33,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,23,1.21428571428571,0.23,1990,0.23,27.4,"38.165320000000001",-76.00854
1990,"Aug","EE3.0",1990-08-16,12.33,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,60,2.94444444444444,0.6,1990,0.6,27.4,"38.165320000000001",-76.00854
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,100,2.8,1,1990,0.999999,26.7,"38.071159999999999",-76.04566
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,97,3.74137931034483,0.97,1990,0.97,26.7,"38.071159999999999",-76.04566
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,100,3.86666666666667,1,1990,0.999999,26.7,"38.071159999999999",-76.04566
1990,"Aug","ET4.2",1990-08-14,9.72,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,100,4.11666666666667,1,1990,0.999999,26.3,"38.596419999999995",-76.12821
1990,"Aug","ET5.2",1990-08-14,8.38,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,83,2.02,0.83,1990,0.83,26.8,"38.395020000000002",-76.11291
1990,"Dec","CB3.2",1990-12-12,4.06,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,93,2.98214285714286,0.93,1991,0.93,5.9,"39.083970000000001",-76.18145
1990,"Dec","EE2.2",1990-12-11,12.13,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,100,3.93333333333333,1,1991,0.999999,6.7,"38.319420000000001",-76.14587
