"term","statistic","df","p.value","fdr.p.value","Month"
"WTEMP",3.16834961533277,1,0.0750782769518578,0.122855362284858,"Jan"
"SALINITY",78.391319829494,1,8.4522755199879e-19,7.60704796798911e-18,"Jan"
"Region",769.451990068741,25,3.3249580405174e-146,1.19698489458626e-144,"Jan"
"WTEMP",3.63541677501119,1,0.05656244098251,0.101812393768518,"Feb"
"SALINITY",8.11248809903131,1,0.00439613458122872,0.00942382264720532,"Feb"
"Region",19.7406962539013,26,0.803682892950968,0.832450038297778,"Feb"
"WTEMP",23.8970819966734,1,1.01625686026813e-06,4.06502744107252e-06,"Mar"
"SALINITY",15.9763821670032,1,6.41376568676871e-05,0.000192412970603061,"Mar"
"Region",23.5491323857914,29,0.750835208140056,0.832450038297778,"Mar"
"WTEMP",18.6981994680064,1,1.53127012110466e-05,5.51257243597679e-05,"Apr"
"SALINITY",13.15300370785,1,0.00028705870294645,0.000794931792774784,"Apr"
"Region",21.6986680531181,29,0.832450038297778,0.832450038297778,"Apr"
"WTEMP",7.4878831871951,1,0.00621155319927422,0.0124231063985484,"May"
"SALINITY",123.220103499472,1,1.24806737486089e-28,1.49768084983307e-27,"May"
"Region",431.482140594856,29,3.00186359331917e-73,5.4033544679745e-72,"May"
"WTEMP",4.41663504682818,1,0.0355901553028878,0.0674339784686296,"Jun"
"SALINITY",33.4154296252635,1,7.44311080857127e-09,3.8278855586938e-08,"Jun"
"Region",22.4849974561457,29,0.799566484690017,0.832450038297778,"Jun"
"WTEMP",0.0521079707829146,1,0.819435020915233,0.832450038297778,"Jul"
"SALINITY",48.3129834653246,1,3.63338547460007e-12,2.61603754171205e-11,"Jul"
"Region",24.7950927409846,29,0.688835612448562,0.832450038297778,"Jul"
"WTEMP",3.3202857842354,1,0.068429932793385,0.117308456217231,"Aug"
"SALINITY",34.2405911098707,1,4.87024410516729e-09,2.92214646310037e-08,"Aug"
"Region",24.352704377456,29,0.711356020139988,0.832450038297778,"Aug"
"WTEMP",8.09035743867876,1,0.0044501384722914,0.00942382264720532,"Sept"
"SALINITY",25.13773265868,1,5.33781266567447e-07,2.40201569955351e-06,"Sept"
"Region",22.397324479076,29,0.803373079397039,0.832450038297778,"Sept"
"WTEMP",2.09992384075875,1,0.147306475749529,0.230566657694915,"Oct"
"SALINITY",17.2089054839113,1,3.34862921110287e-05,0.000109591501454276,"Oct"
"Region",22.4176308710955,29,0.802494434578538,0.832450038297778,"Oct"
"WTEMP",1.2578030087996,1,0.262067361070875,0.393101041606313,"Nov"
"SALINITY",10.220450546554,1,0.00138891917756927,0.00333340602616626,"Nov"
"Region",21.0815592769074,26,0.737741736380678,0.832450038297778,"Nov"
"WTEMP",1.12159208333984,1,0.289575895354015,0.416989289309782,"Dec"
"SALINITY",12.0738182122658,1,0.000511348671407685,0.00131489658361976,"Dec"
"Region",20.0652482643923,26,0.788454306642425,0.832450038297778,"Dec"
