"term","statistic","df","p.value","fdr.p.value","Month"
"WTEMP",0.376033591165851,1,0.539733673035332,0.571482712625646,"Jan"
"SALINITY",71.9049863354983,1,2.25812607617851e-17,7.39023079476604e-17,"Jan"
"Region",51.1133815673852,26,0.00230956565337846,0.00307942087117127,"Jan"
"WTEMP",40.1202113073577,1,2.38805390121494e-10,6.61307234182598e-10,"Feb"
"SALINITY",49.5667796919169,1,1.9173295472249e-12,5.7519886416747e-12,"Feb"
"Region",62.9370482315127,26,6.67280365165856e-05,9.60883725838833e-05,"Feb"
"WTEMP",26.0151409521109,1,3.38750239250948e-07,6.41842558580744e-07,"Mar"
"SALINITY",118.386456587295,1,1.42692980648299e-27,1.02738946066776e-26,"Mar"
"Region",71.9333420229427,29,1.64155256696115e-05,2.6861769277546e-05,"Mar"
"WTEMP",1.04435833969791,1,0.306809999348781,0.356295483114713,"Apr"
"SALINITY",75.6652120710175,1,3.36076799947982e-18,1.34430719979193e-17,"Apr"
"Region",82.7418570655565,29,4.56544124448042e-07,8.21779424006476e-07,"Apr"
"WTEMP",5.94759563768601,1,0.0147373738246456,0.0189480520602587,"May"
"SALINITY",149.277146173526,1,2.49436980242931e-34,2.99324376291517e-33,"May"
"Region",92.2196921058297,29,1.65148013742533e-08,3.77611314437737e-08,"May"
"WTEMP",0.00483832274694014,1,0.944545424832477,0.944545424832477,"Jun"
"SALINITY",150.012937089528,1,1.72239197294113e-34,2.99324376291517e-33,"Jun"
"Region",93.3268418206631,29,1.11034949560847e-08,2.85518441727892e-08,"Jun"
"WTEMP",18.2483928152425,1,1.93889476932185e-05,3.0347918128516e-05,"Jul"
"SALINITY",138.256160336673,1,6.40571623403179e-32,5.76514461062861e-31,"Jul"
"Region",75.3078705839726,29,5.50811612556399e-06,9.44248478668113e-06,"Jul"
"WTEMP",0.0610128104028985,1,0.804902254698556,0.827899461975657,"Aug"
"SALINITY",164.087608787279,1,1.44751504131272e-37,5.21105414872579e-36,"Aug"
"Region",92.174705098359,29,1.67827250861216e-08,3.77611314437737e-08,"Aug"
"WTEMP",0.627817673838864,1,0.42815693715899,0.467080295082534,"Sept"
"SALINITY",85.4303559304408,1,2.40007650685646e-20,1.44004590411388e-19,"Sept"
"Region",84.7021705846701,29,2.32636548765596e-07,4.65273097531192e-07,"Sept"
"WTEMP",2.82666601391591,1,0.0927106438560217,0.111252772627226,"Oct"
"SALINITY",82.1081825206973,1,1.2883812086142e-19,6.62596050144448e-19,"Oct"
"Region",89.770333659718,29,3.94885275082211e-08,8.36227641350564e-08,"Oct"
"WTEMP",0.771431071455945,1,0.3797747027068,0.427246540545149,"Nov"
"SALINITY",79.5583184455027,1,4.68199404316977e-19,2.1068973194264e-18,"Nov"
"Region",61.735863175141,26,9.75587653242899e-05,0.000135081367372094,"Nov"
"WTEMP",3.47452633193649,1,0.062320561767357,0.0773634559870639,"Dec"
"SALINITY",71.9292354653332,1,2.23054630650667e-17,7.39023079476604e-17,"Dec"
"Region",64.2809934097723,26,4.34244956939849e-05,6.51367435409773e-05,"Dec"
