"term","statistic","df","p.value","fdr.p.value","Region"
"Year",37.616908636413,1,8.60949229070964e-10,1.50666115087419e-09,"NANTICOKE RIVER"
"Year",14.5826355496962,1,0.000134144985593841,0.000163306938983806,"UPPER BAY"
"Year",13.7942788485714,1,0.00020395636796748,0.00023794909596206,"CHESTER RIVER"
"Year",205.244973424947,1,1.49738435807435e-46,6.98779367101364e-46,"EASTERN BAY"
"Year",17.2361294595566,1,3.30098666956559e-05,4.40131555942079e-05,"WYE RIVER"
"Year",109.948311094514,1,1.00579487397016e-25,2.34685470593037e-25,"MILES RIVER"
"Year",140.555740881002,1,2.01227678829108e-32,6.26041667468337e-32,"BROAD CREEK"
"Year",147.692892444064,1,5.53686359940568e-34,1.93790225979199e-33,"HARRIS CREEK"
"Year",500.51131210094,1,7.35731270841206e-111,1.03002377917769e-109,"CHOPTANK RIVER"
"Year",1.18878536914466,1,0.275574698688498,0.285781169010294,"LITTLE CHOPTANK RIVER"
"Year",23.3211223394503,1,1.3708625615132e-06,2.02021851170366e-06,"PATUXENT RIVER"
"Year",32.8951613622749,1,9.72650541986183e-09,1.51301195420073e-08,"MIDDLE BAY"
"Year",3.5401972391088,1,0.0598983380228562,0.0645059024861529,"MANOKIN RIVER"
"Year",67.296269391379,1,2.33623048017905e-16,5.03188103423181e-16,"POTOMAC RIVER"
"Year",151.68319368492,1,7.43133564759806e-35,2.97253425903922e-34,"LOWER BAY"
"Year",46.8430690387545,1,7.69045978985198e-12,1.4355524941057e-11,"FISHING BAY"
"Year",15.9994906713001,1,6.33595268656416e-05,8.06393978289984e-05,"HONGA RIVER"
"Year",122.386098037435,1,1.90016651664529e-28,4.83678749691529e-28,"TANGIER SOUND"
"Year",283.337800809807,1,1.40684617355974e-63,1.31305642865576e-62,"HOLLAND STRAITS"
"Year",10.9339505733082,1,0.00094417950427738,0.00105748104479067,"POCOMOKE SOUND"
"Year",0.537990513471897,1,0.463266717970782,0.463266717970782,"RAPPAHANNOCK RIVER"
"Year",19.9749723539797,1,7.8462461388997e-06,1.09847445944596e-05,"GREAT WICOMICO RIVER"
"Year",267.989370539239,1,3.11259876532996e-60,2.17881913573097e-59,"CORROTOMAN RIVER"
"Year",231.896963041932,1,2.29960796244716e-52,1.28778045897041e-51,"PIANKATANK RIVER"
"Year",62.8415942714931,1,2.2401763726974e-15,4.48035274539479e-15,"YORK RIVER"
"Year",123.899960307641,1,8.8599812362015e-29,2.48079474613642e-28,"MOBJACK BAY"
"Year",539.034856176849,1,3.05772099466137e-119,8.56161878505184e-118,"JAMES RIVER"
"Year",35.7033592739836,1,2.29767469930944e-09,3.7844053870979e-09,"ST MARY'S RIVER"
