"term","statistic","df","p.value","Region","fdr.p.value"
"WTEMP",1.73192776413696,1,0.188164891394331,"NANTICOKE RIVER",0.327771101138511
"SALINITY",30.7704121906125,1,2.90432605329411e-08,"NANTICOKE RIVER",1.30694672398235e-07
"WTEMP",0.285706627730669,1,0.592985052749713,"UPPER BAY",0.711582063299655
"SALINITY",8.80955905206444,1,0.00299656444084498,"UPPER BAY",0.00735520362752858
"WTEMP",1.65008176590961,1,0.198947802681302,"CHESTER RIVER",0.335724417024698
"SALINITY",33.4170435206738,1,7.43693685837799e-09,"CHESTER RIVER",3.65085991229465e-08
"WTEMP",0.891252502053627,1,0.345138117323896,"EASTERN BAY",0.503715090148389
"SALINITY",119.209724384261,1,9.42218827076773e-28,"EASTERN BAY",1.69599388873819e-26
"WTEMP",4.6881415117631,1,0.0303714801800707,"WYE RIVER",0.0656023971889528
"SALINITY",92.4183397172906,1,7.01608891929779e-22,"WYE RIVER",7.57737603284162e-21
"WTEMP",3.1785866013056,1,0.0746092409545063,"MILES RIVER",0.134296633718111
"SALINITY",74.1890995584159,1,7.09811646911077e-18,"MILES RIVER",5.47568984759974e-17
"WTEMP",0.161499429676498,1,0.687779763806891,"BROAD CREEK",0.807393635773307
"SALINITY",13.5231228490648,1,0.000235641972313954,"BROAD CREEK",0.000748509794409031
"WTEMP",1.04576221260326,1,0.306485110142642,"HARRIS CREEK",0.472862741362933
"SALINITY",5.27712093510958,1,0.0216074488327798,"HARRIS CREEK",0.0486167598737546
"WTEMP",4.32806512219928,1,0.0374888380747562,"CHOPTANK RIVER",0.0749776761495124
"SALINITY",170.120201081004,1,6.96487659156972e-39,"CHOPTANK RIVER",1.88051667972382e-37
"WTEMP",1.17685436506301,1,0.277997315897525,"LITTLE CHOPTANK RIVER",0.441525148778422
"SALINITY",23.1937989617903,1,1.46468867049444e-06,"LITTLE CHOPTANK RIVER",5.6495134433357e-06
"WTEMP",1.59118380106558,1,0.207157083191343,"PATUXENT RIVER",0.33898431794947
"SALINITY",72.4423695243371,1,1.71981634226903e-17,"PATUXENT RIVER",1.1608760310316e-16
"WTEMP",5.57058705145925,1,0.018264636224195,"MIDDLE BAY",0.0428821893959361
"SALINITY",83.6974655790828,1,5.76591027540634e-20,"MIDDLE BAY",5.1893192478657e-19
"WTEMP",0.00236377189005308,1,0.961223217134177,"MANOKIN RIVER",0.961223217134177
"SALINITY",11.7630804813179,1,0.000604171547135563,"MANOKIN RIVER",0.00181251464140669
"WTEMP",0.0716943599839902,1,0.788885582399535,"POTOMAC RIVER",0.852271773754803
"SALINITY",67.1481337992621,1,2.51853599159735e-16,"POTOMAC RIVER",1.51112159495841e-15
"WTEMP",0.474009567119799,1,0.491148340251734,"LOWER BAY",0.616790938920783
"SALINITY",4.41297831808645,1,0.0356665184770538,"LOWER BAY",0.0740766152984964
"WTEMP",0.705091883007512,1,0.401078018912527,"FISHING BAY",0.555338795417344
"SALINITY",0.617561916788787,1,0.43195473838648,"FISHING BAY",0.573829080342658
"WTEMP",0.552425267107202,1,0.457328421159823,"HONGA RIVER",0.587993684348344
"SALINITY",0.607620766552439,1,0.435685042482389,"HONGA RIVER",0.573829080342658
"WTEMP",0.111319662235809,1,0.738646692264901,"TANGIER SOUND",0.848657901751163
"SALINITY",8.92795463985223,1,0.00280838669555237,"TANGIER SOUND",0.00722156578856323
"WTEMP",0.0407304057466737,1,0.840059201610479,"HOLLAND STRAITS",0.87236917090319
"SALINITY",9.76875124327981,1,0.00177502974124756,"HOLLAND STRAITS",0.0047925803013684
"WTEMP",0.00262251278671927,1,0.959157804667574,"POCOMOKE SOUND",0.961223217134177
"SALINITY",16.7620599855289,1,4.23720890061904e-05,"POCOMOKE SOUND",0.000152539520422285
"WTEMP",4.23256665412427,1,0.0396554297276278,"RAPPAHANNOCK RIVER",0.076478328760425
"SALINITY",214.166614331199,1,1.69383100694185e-48,"RAPPAHANNOCK RIVER",9.14668743748599e-47
"WTEMP",0.0715171183205224,1,0.789140531254447,"GREAT WICOMICO RIVER",0.852271773754803
"SALINITY",63.34305323258,1,1.73666759792005e-15,"GREAT WICOMICO RIVER",9.3780050287683e-15
"WTEMP",0.98941217882951,1,0.319886085564839,"CORROTOMAN RIVER",0.479829128347259
"SALINITY",3.66727830199952,1,0.0554907288097471,"CORROTOMAN RIVER",0.103327563990564
"WTEMP",0.711048567819783,1,0.399095932433927,"PIANKATANK RIVER",0.555338795417344
"SALINITY",16.2595673613406,1,5.522999865283e-05,"PIANKATANK RIVER",0.000186401245453301
"WTEMP",0.0921784999044396,1,0.761425699922369,"YORK RIVER",0.852271773754803
"SALINITY",0.309426287332597,1,0.578032451877634,"YORK RIVER",0.709403463668005
"WTEMP",0.0594749083069816,1,0.807327802202518,"MOBJACK BAY",0.854817672920313
"SALINITY",24.0684945970255,1,9.29690062144685e-07,"MOBJACK BAY",3.86178948890869e-06
"WTEMP",10.5788774509892,1,0.00114387096286615,"JAMES RIVER",0.00325100168393537
"SALINITY",104.891514951837,1,1.29009213925669e-24,"JAMES RIVER",1.74162438799653e-23
