"term","statistic","df","p.value","fdr.p.value","Region"
"WTEMP",1.70326848174345,1,0.191861085131328,0.358140692245146,"NANTICOKE RIVER"
"SALINITY",29.9258457640018,1,4.48889114918202e-08,2.90051428100992e-07,"NANTICOKE RIVER"
"WTEMP:SALINITY",0.931178871955494,1,0.334556783191103,0.551034701726523,"NANTICOKE RIVER"
"WTEMP",0.281989426199016,1,0.595400231327826,0.781462803617771,"UPPER BAY"
"SALINITY",8.86050986623357,1,0.00291406166375112,0.00906596962055905,"UPPER BAY"
"WTEMP:SALINITY",0.228590735953484,1,0.632570751007969,0.817476047456452,"UPPER BAY"
"WTEMP",1.65899247322585,1,0.197739413012099,0.361089362891658,"CHESTER RIVER"
"SALINITY",33.3680891757329,1,7.62651326191359e-09,5.33855928333951e-08,"CHESTER RIVER"
"WTEMP:SALINITY",0.674011224894429,1,0.411656597306559,0.617484895959838,"CHESTER RIVER"
"WTEMP",0.894725390229652,1,0.34419997631616,0.556015346356873,"EASTERN BAY"
"SALINITY",119.233328157963,1,9.31073540475839e-28,2.60700591333235e-26,"EASTERN BAY"
"WTEMP:SALINITY",0.304902906029321,1,0.580824940287043,0.776155865755155,"EASTERN BAY"
"WTEMP",4.68051476158602,1,0.03050660571077,0.0813186048852718,"WYE RIVER"
"SALINITY",92.3326095539264,1,7.3267021188127e-22,1.23088595596053e-20,"WYE RIVER"
"WTEMP:SALINITY",0.0427493748184331,1,0.836197906092344,0.935481135521981,"WYE RIVER"
"WTEMP",3.18064675694623,1,0.074515230151542,0.164717877177093,"MILES RIVER"
"SALINITY",74.2208531074505,1,6.98485436270213e-18,8.38182523524256e-17,"MILES RIVER"
"WTEMP:SALINITY",0.00758063388411717,1,0.930618386500983,0.974273997390092,"MILES RIVER"
"WTEMP",0.133833003579213,1,0.714490489669541,0.880285848222332,"BROAD CREEK"
"SALINITY",13.5762810515063,1,0.000229061607574572,0.00101269342296127,"BROAD CREEK"
"WTEMP:SALINITY",6.25823468143574,1,0.0123617323125888,0.0370851969377664,"BROAD CREEK"
"WTEMP",1.01840285145742,1,0.312898157046493,0.53639684065113,"HARRIS CREEK"
"SALINITY",5.32064202337485,1,0.0210742454028219,0.0590078871279014,"HARRIS CREEK"
"WTEMP:SALINITY",0.542577312311346,1,0.461366563069729,0.666217010255908,"HARRIS CREEK"
"WTEMP",4.31900875636631,1,0.037688870739833,0.0904532897755992,"CHOPTANK RIVER"
"SALINITY",170.315852227637,1,6.31221200298438e-39,2.65112904125344e-37,"CHOPTANK RIVER"
"WTEMP:SALINITY",0.344755185635033,1,0.557097214697321,0.767150262861885,"CHOPTANK RIVER"
"WTEMP",1.18585084884032,1,0.2761680897154,0.48329415700195,"LITTLE CHOPTANK RIVER"
"SALINITY",22.8839929507154,1,1.72078929152047e-06,9.03414378048245e-06,"LITTLE CHOPTANK RIVER"
"WTEMP:SALINITY",3.10463527205664,1,0.0780697159396902,0.168150157408563,"LITTLE CHOPTANK RIVER"
"WTEMP",1.55872258266306,1,0.211852356777172,0.378629744027285,"PATUXENT RIVER"
"SALINITY",72.2192518201384,1,1.92567919990378e-17,2.02196315989897e-16,"PATUXENT RIVER"
"WTEMP:SALINITY",1.92477582252044,1,0.165331131211732,0.317955292525976,"PATUXENT RIVER"
"WTEMP",5.4874921592815,1,0.0191529971519045,0.0554776469227579,"MIDDLE BAY"
"SALINITY",83.5427194895392,1,6.23538585619973e-20,8.72954019867962e-19,"MIDDLE BAY"
"WTEMP:SALINITY",1.91374355887001,1,0.16654801037075,0.317955292525976,"MIDDLE BAY"
"WTEMP",6.26323643984497e-05,1,0.99368555868413,0.99368555868413,"MANOKIN RIVER"
"SALINITY",11.757540458437,1,0.000605972463004205,0.00242388985201682,"MANOKIN RIVER"
"WTEMP:SALINITY",10.4458426398527,1,0.00122925815597641,0.00430240354591744,"MANOKIN RIVER"
"WTEMP",0.0242490579475314,1,0.876252872355597,0.955912224387924,"POTOMAC RIVER"
"SALINITY",33.3688088157145,1,7.62369169270349e-09,5.33855928333951e-08,"POTOMAC RIVER"
"WTEMP:SALINITY",0.73510518555594,1,0.391233387663013,0.60858526969802,"POTOMAC RIVER"
"WTEMP",0.47629948617676,1,0.490103295939315,0.686144614315041,"LOWER BAY"
"SALINITY",4.44672120764659,1,0.0349683239382075,0.0863923297296891,"LOWER BAY"
"WTEMP:SALINITY",2.86525111832851,1,0.0905115823732925,0.185438363886746,"LOWER BAY"
"WTEMP",0.20958018342479,1,0.647096651049049,0.820900459829102,"FISHING BAY"
"SALINITY",25.0617315047804,1,5.55239129950111e-07,3.33143477970067e-06,"FISHING BAY"
"WTEMP:SALINITY",0.00218990315332182,1,0.962675497421163,0.974273997390092,"FISHING BAY"
"WTEMP",0.526840684553358,1,0.467938138155935,0.666217010255908,"HONGA RIVER"
"SALINITY",0.536101072612264,1,0.464053075304201,0.666217010255908,"HONGA RIVER"
"WTEMP:SALINITY",12.6200673024825,1,0.000381627591812886,0.00160283588561412,"HONGA RIVER"
"WTEMP",0.125549409161374,1,0.723091946754058,0.880285848222332,"TANGIER SOUND"
"SALINITY",8.88359749884787,1,0.00287743996746861,0.00906596962055905,"TANGIER SOUND"
"WTEMP:SALINITY",4.6013605020962,1,0.0319465947763568,0.0813186048852718,"TANGIER SOUND"
"WTEMP",0.01309012549968,1,0.908911133400286,0.974273997390092,"HOLLAND STRAITS"
"SALINITY",9.65711236412526,1,0.00188619876814922,0.00633762786098137,"HOLLAND STRAITS"
"WTEMP:SALINITY",4.60803536026393,1,0.0318224711654211,0.0813186048852718,"HOLLAND STRAITS"
"WTEMP",0.00232132908670441,1,0.961572651352603,0.974273997390092,"POCOMOKE SOUND"
"SALINITY",16.7713990052531,1,4.21640529674293e-05,0.000208340026427298,"POCOMOKE SOUND"
"WTEMP:SALINITY",0.0375311180404252,1,0.846387694043697,0.935481135521981,"POCOMOKE SOUND"
"WTEMP",4.24205057040031,1,0.039434510497016,0.0920138578263707,"RAPPAHANNOCK RIVER"
"SALINITY",214.322334534634,1,1.56638846485364e-48,1.31576631047706e-46,"RAPPAHANNOCK RIVER"
"WTEMP:SALINITY",0.199944258192333,1,0.654765842958926,0.820900459829102,"RAPPAHANNOCK RIVER"
"WTEMP",0.100999499241656,1,0.750633476902023,0.888073409292534,"GREAT WICOMICO RIVER"
"SALINITY",61.57654537123,1,4.25861401106979e-15,3.9747064103318e-14,"GREAT WICOMICO RIVER"
"WTEMP:SALINITY",0.091756059785773,1,0.761956447981543,0.888949189311801,"GREAT WICOMICO RIVER"
"WTEMP",0.950487079648715,1,0.329595346370843,0.551034701726523,"CORROTOMAN RIVER"
"SALINITY",3.71605439579497,1,0.0538915771161727,0.122348445344824,"CORROTOMAN RIVER"
"WTEMP:SALINITY",0.741736506540494,1,0.38910518038237,0.60858526969802,"CORROTOMAN RIVER"
"WTEMP",0.70917490253753,1,0.399717860393684,0.61047818678308,"PIANKATANK RIVER"
"SALINITY",16.2624916354968,1,5.5144822800841e-05,0.000257342506403925,"PIANKATANK RIVER"
"WTEMP:SALINITY",0.00806096690159116,1,0.928459746999196,0.974273997390092,"PIANKATANK RIVER"
"WTEMP",0.059918044220729,1,0.806625521848187,0.928171833359558,"YORK RIVER"
"SALINITY",0.302824833859868,1,0.582116899316366,0.776155865755155,"YORK RIVER"
"WTEMP:SALINITY",0.00445633170102853,1,0.946776141969416,0.974273997390092,"YORK RIVER"
"WTEMP",0.0442017141765354,1,0.83347877178968,0.935481135521981,"MOBJACK BAY"
"SALINITY",24.6148410235634,1,7.0010470862243e-07,3.9205863682856e-06,"MOBJACK BAY"
"WTEMP:SALINITY",2.62728841872288,1,0.105040965443689,0.210081930887378,"MOBJACK BAY"
"WTEMP",10.7124022786337,1,0.00106419765984065,0.00388663493159193,"JAMES RIVER"
"SALINITY",105.573203841236,1,9.14561136209641e-25,1.92057838604025e-23,"JAMES RIVER"
"WTEMP:SALINITY",11.5707248986842,1,0.000669982942344201,0.00255811668895059,"JAMES RIVER"
"WTEMP",0.114991315085104,1,0.734531615952991,0.88143793914359,"ST MARY'S RIVER"
"SALINITY",58.6582337720908,1,1.87581478247851e-14,1.57568441728195e-13,"ST MARY'S RIVER"
"WTEMP:SALINITY",3.02314481972072,1,0.082084148715956,0.172376712303508,"ST MARY'S RIVER"
