"Year","Month","MonitoringLocation","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","WTEMP","oysteryear"
1990,"Apr","CB3.2",4.48,"MD","October","CHESTER RIVER","OLD FIELD (S)",39.0843,-76.164883,"17",0.2,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","CHESTER RIVER","BUOY ROCK",38.994033,-76.213683,"23",0.5,8.2,1990
1990,"Apr","CB3.2",4.48,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.9,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","CHESTER RIVER","OLD FIELD (S)",39.0843,-76.164883,"17",0.2,8.2,1990
1990,"Apr","CB3.2",4.48,"MD","October","UPPER BAY","SWAN POINT",39.13995,-76.302417,"7",0.1,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","WYE RIVER","BRUFFS ISLAND",38.860283,-76.194117,"83",2.8,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","WYE RIVER","BRUFFS ISLAND",38.860283,-76.194117,"83",2.8,8.2,1990
1990,"Apr","CB3.2",4.48,"MD","October","EASTERN BAY","BUGBY",38.87535,-76.220267,"100",3.4,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","MILES RIVER","TURTLE BACK",38.851067,-76.236333,"100",3.8,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","MILES RIVER","TURTLE BACK",38.851067,-76.236333,"100",3.8,8.2,1990
1990,"Apr","CB3.2",4.48,"MD","October","EASTERN BAY","BUGBY",38.87535,-76.220267,"100",3.4,8.2,1990
1990,"Apr","CB3.2",4.48,"MD","October","CHESTER RIVER","BUOY ROCK",38.994033,-76.213683,"23",0.5,10.1,1990
1990,"Apr","CB3.2",4.48,"MD","October","UPPER BAY","SWAN POINT",39.13995,-76.302417,"7",0.1,8.2,1990
1990,"Apr","CB3.2",4.48,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.9,8.2,1990
1990,"Apr","CB3.2",0.9,"MD","October","CHESTER RIVER","OLD FIELD (S)",39.0843,-76.164883,"17",0.2,10.1,1990
1990,"Apr","CB3.2",0.9,"MD","October","CHESTER RIVER","BUOY ROCK",38.994033,-76.213683,"23",0.5,8.2,1990
1990,"Apr","CB3.2",0.9,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.9,10.1,1990
1990,"Apr","CB3.2",0.9,"MD","October","CHESTER RIVER","OLD FIELD (S)",39.0843,-76.164883,"17",0.2,8.2,1990
1990,"Apr","CB3.2",0.9,"MD","October","UPPER BAY","SWAN POINT",39.13995,-76.302417,"7",0.1,10.1,1990
1990,"Apr","CB3.2",0.9,"MD","October","WYE RIVER","BRUFFS ISLAND",38.860283,-76.194117,"83",2.8,10.1,1990
1990,"Apr","CB3.2",0.9,"MD","October","WYE RIVER","BRUFFS ISLAND",38.860283,-76.194117,"83",2.8,8.2,1990
1990,"Apr","CB3.2",0.9,"MD","October","EASTERN BAY","BUGBY",38.87535,-76.220267,"100",3.4,10.1,1990
1990,"Apr","CB3.2",0.9,"MD","October","MILES RIVER","TURTLE BACK",38.851067,-76.236333,"100",3.8,10.1,1990
