"Year","Month","MonitoringLocation","SampleDate","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","oysteryear","WTEMP"
1990,"Apr","CB3.2",1990-04-04,4.48,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,1990,8.2
1990,"Apr","CB5.4",1990-04-09,13.49,"VA","October","GREAT WICOMICO RIVER","WHALEYS",37.808617,-76.3,"92",1.24,1990,10.1
1990,"Apr","CB5.4",1990-04-09,13.49,"VA","October","GREAT WICOMICO RIVER","HAYNIE BAR",37.829717,-76.309167,"80",1.28,1990,10.1
1990,"Apr","CB5.4",1990-04-09,13.49,"VA","October","GREAT WICOMICO RIVER","FLEET POINT",37.809717,-76.288617,"84",1.16,1990,10.1
1990,"Apr","EE2.2",1990-04-03,11.28,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,1990,9.3
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1990,10.1
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,1990,9.3
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,1990,9.3
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,1990,9.3
1990,"Apr","ET4.2",1990-04-04,7.93,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,1990,8.7
1990,"Apr","ET4.2",1990-04-04,7.93,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-75.2602,"20",2.08333333333333,1990,8.7
1990,"Apr","ET5.2",1990-04-02,8.06,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,1990,10.1
1990,"Apr","LE3.1",1990-04-09,8.8,"VA","October","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"100",2.8,1990,10.3
1990,"Apr","LE3.1",1990-04-09,8.8,"VA","May","RAPPAHANNOCK RIVER","MORATTICO ",37.780533,-76.658183,"4",0.04,1990,10.3
1990,"Apr","LE3.1",1990-04-09,8.8,"VA","October","RAPPAHANNOCK RIVER","SMOKEY POINT",37.719167,-76.582217,"56",1.04,1990,10.3
1990,"Apr","LE3.2",1990-04-09,10.5,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"100",1.64,1990,10.5
1990,"Apr","LE3.2",1990-04-09,10.5,"VA","October","RAPPAHANNOCK RIVER","PARROT ROCK",37.605833,-76.588883,"56",0.56,1990,10.5
1990,"Apr","LE3.2",1990-04-09,10.5,"VA","October","RAPPAHANNOCK RIVER","HOG HOUSE ROCK",37.63618,-76.54255,"4",0.04,1990,10.5
