Year,State,Month,Region,Site,Lat,Long,Prevalence,MonitoringLocation,Mean Intensity
1995,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,,EE2.1,NA
2002,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,,EE2.1,NA
1990,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,,EE2.1,NA
1999,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,,ET5.1,NA
2000,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,,ET5.1,NA
2001,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,,ET5.1,NA
2019,MD,October,POTOMAC RIVER,LOWER CEDAR POINT,38.333783,-76.981867,,RET4.2,NA
1991,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,100,ET5.2,5.7
1992,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,97,ET5.1,5.7
1991,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,5.6
1999,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,93,ET5.1,5.5
1999,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,100,EE3.1,5.5
2001,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,5.5
1999,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,100,EE3.0,5.4
1997,VA,October,JAMES RIVER,DRY SHOAL,37.061383,-76.603883,88,LE3.4,5.4
2001,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,100,EE2.1,5.2
2001,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,100,ET5.2,5.2
1990,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,100,ET5.2,5
2002,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,100,ET5.2,5
1994,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,87,EE3.0,5
2001,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,100,EE3.3,5
1999,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,100,ET8.1,5
2001,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,100,EE3.1,5
2001,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,100,EE3.2,5
1990,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,4.9
1991,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,4.9
2001,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,97,EE2.1,4.8
1992,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,97,EE2.1,4.8
2001,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,100,EE3.1,4.8
1990,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,100,EE3.0,4.8
2001,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,100,LE1.1,4.8
1999,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,4.8
2001,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,100,RET3.1,4.8
2000,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,97,EE2.1,4.7
1999,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,100,ET4.2,4.7
2002,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,4.7
2009,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,97,EE3.2,4.7
2000,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,4.7
2016,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,100,EE2.1,4.6
1992,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,100,ET4.2,4.6
2002,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,100,ET4.2,4.6
2001,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,4.6
1992,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,100,EE3.0,4.6
1999,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,100,LE1.1,4.6
2001,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,100,EE3.0,4.6
2003,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,100,EE3.1,4.6
1999,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,97,EE2.1,4.5
1991,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,100,EE2.1,4.5
2001,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,100,ET5.2,4.5
2001,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,100,ET4.2,4.5
1991,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,97,ET5.1,4.5
2017,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,100,ET5.1,4.5
2015,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,93,CB3.3W,4.5
1991,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,100,EE3.2,4.5
2001,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,100,RET3.1,4.5
2002,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,100,ET4.2,4.4
1991,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,CB3.3W,4.4
2002,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,94,EE2.1,4.4
2006,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,93,ET5.1,4.4
1992,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,100,CB3.3W,4.4
2016,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,97,CB3.3W,4.4
2007,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,4.4
2013,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,100,EE3.3,4.4
2003,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,100,EE3.2,4.4
2004,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,100,EE3.0,4.4
2016,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,93,EE3.0,4.3
2012,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,100,EE2.2,4.3
2001,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,EE2.1,4.3
2012,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,93,EE3.0,4.3
2016,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,97,ET5.1,4.3
1991,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,94,EE1.1,4.3
1999,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,4.3
1999,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,100,ET3.1,4.3
1999,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,100,EE3.0,4.3
2017,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,97,EE1.1,4.3
1993,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,97,EE2.1,4.2
2002,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,100,EE2.1,4.2
1992,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,100,ET5.2,4.2
1990,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,100,EE3.1,4.2
1990,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,100,EE2.2,4.2
2016,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,EE2.1,4.2
1992,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,100,ET5.1,4.2
