"term","statistic","df","p.value","fdr.p.value","Region"
"WTEMP",0.363771146096806,1,0.546419260587446,0.84998551646936,"NANTICOKE RIVER"
"SALINITY",5.03339174505004,1,0.0248631616010238,0.0994526464040952,"NANTICOKE RIVER"
"WTEMP:SALINITY",0.127988339343722,1,0.720526983893647,0.938520825849707,"NANTICOKE RIVER"
"WTEMP",0.0448883306554084,1,0.832209498353692,0.97091108141264,"UPPER BAY"
"SALINITY",2.27855509986749,1,0.131174028468308,0.381875462800993,"UPPER BAY"
"WTEMP:SALINITY",1.90089173113599,1,0.167978539912712,0.440943667270869,"UPPER BAY"
"WTEMP",0.415038690938348,1,0.519423080380112,0.836003803768371,"CHESTER RIVER"
"SALINITY",0.660536309094097,1,0.416370669844544,0.734527949010164,"CHESTER RIVER"
"WTEMP:SALINITY",0.1006254951334,1,0.751080302758626,0.938520825849707,"CHESTER RIVER"
"WTEMP",0.273541826752842,1,0.600965719838531,0.881399199147152,"EASTERN BAY"
"SALINITY",7.09096955761922,1,0.00774733228485136,0.0345595662364468,"EASTERN BAY"
"WTEMP:SALINITY",1.03042186718783,1,0.310059603802884,0.63524406632786,"EASTERN BAY"
"WTEMP",1.37558510362402,1,0.240854598602092,0.552472010973077,"WYE RIVER"
"SALINITY",18.157571142796,1,2.03359318869972e-05,0.000189802030945307,"WYE RIVER"
"WTEMP:SALINITY",0.897565677944488,1,0.343435282016484,0.655649174758742,"WYE RIVER"
"WTEMP",0.810196609438202,1,0.368062129442177,0.672113453763976,"MILES RIVER"
"SALINITY",31.9349108395072,1,1.59425977896924e-08,3.3479455358354e-07,"MILES RIVER"
"WTEMP:SALINITY",0.811446710617894,1,0.367692875678746,0.672113453763976,"MILES RIVER"
"WTEMP",2.08155644458109,1,0.149088088083435,0.403980625774468,"BROAD CREEK"
"SALINITY",33.4237485844898,1,7.41134153581329e-09,2.07517563002772e-07,"BROAD CREEK"
"WTEMP:SALINITY",0.0969199713205194,1,0.755557573279787,0.938520825849707,"BROAD CREEK"
"WTEMP",0.245037289414523,1,0.620591358114968,0.883553797994192,"HARRIS CREEK"
"SALINITY",7.07491688933826,1,0.00781704474395821,0.0345595662364468,"HARRIS CREEK"
"WTEMP:SALINITY",0.0254358733148589,1,0.873285767418027,0.991297357609652,"HARRIS CREEK"
"WTEMP",0.623615128695083,1,0.429707045456811,0.736640649354534,"CHOPTANK RIVER"
"SALINITY",30.8011601158874,1,2.85866911304976e-08,4.00213675826967e-07,"CHOPTANK RIVER"
"WTEMP:SALINITY",2.3279058532538,1,0.127072725740651,0.381875462800993,"CHOPTANK RIVER"
"WTEMP",1.65892932094778,1,0.197747946807586,0.490134103050201,"LITTLE CHOPTANK RIVER"
"SALINITY",19.2671277644515,1,1.13646245494979e-05,0.000136375494593974,"LITTLE CHOPTANK RIVER"
"WTEMP:SALINITY",0.457705692873396,1,0.498698177118646,0.821385232901299,"LITTLE CHOPTANK RIVER"
"WTEMP",0.651070363187848,1,0.419730256577237,0.734527949010164,"PATUXENT RIVER"
"SALINITY",12.1390696211661,1,0.000493764026399613,0.00319047524750519,"PATUXENT RIVER"
"WTEMP:SALINITY",0.0623900937176263,1,0.80275741712584,0.963308900551008,"PATUXENT RIVER"
"WTEMP",1.07399017053243,1,0.300045896968326,0.630096383633485,"MIDDLE BAY"
"SALINITY",9.90622020861666,1,0.00164721077324094,0.00988326463944561,"MIDDLE BAY"
"WTEMP:SALINITY",0.296984071147638,1,0.585779344041588,0.881399199147152,"MIDDLE BAY"
"WTEMP",0.940683063808964,1,0.332102237020866,0.648996734596576,"MANOKIN RIVER"
"SALINITY",17.8811748980128,1,2.35135545189958e-05,0.000197513857959565,"MANOKIN RIVER"
"WTEMP:SALINITY",3.36835095600418,1,0.0664602478940535,0.242724383613065,"MANOKIN RIVER"
"WTEMP",0.133134810464983,1,0.715203647929584,0.938520825849707,"POTOMAC RIVER"
"SALINITY",2.27072802535037,1,0.131837957395581,0.381875462800993,"POTOMAC RIVER"
"WTEMP:SALINITY",0.0379734691081637,1,0.845496423446168,0.97289999410244,"POTOMAC RIVER"
"WTEMP",0.113030984395473,1,0.736719442412469,0.938520825849707,"LOWER BAY"
"SALINITY",1.34422669016137,1,0.246289956098624,0.552472010973077,"LOWER BAY"
"WTEMP:SALINITY",0.0750841486179222,1,0.784073194762473,0.954523889276054,"LOWER BAY"
"WTEMP",0.00752723704244686,1,0.930862560471941,0.994436354651747,"FISHING BAY"
"SALINITY",1.07732134894308,1,0.299297562242525,0.630096383633485,"FISHING BAY"
"WTEMP:SALINITY",0.0149641934488749,1,0.90263908336768,0.994115168014799,"FISHING BAY"
"WTEMP",0.0935152257290072,1,0.759754954259286,0.938520825849707,"HONGA RIVER"
"SALINITY",2.16295149456981,1,0.141372909680061,0.395844147104171,"HONGA RIVER"
"WTEMP:SALINITY",0.199824785853994,1,0.654862311004481,0.916807235406274,"HONGA RIVER"
"WTEMP",0.000147795414277013,1,0.990300265579797,0.997640870641031,"TANGIER SOUND"
"SALINITY",1.32370715498415,1,0.24992781448782,0.552472010973077,"TANGIER SOUND"
"WTEMP:SALINITY",1.65420470453515,1,0.198387613139367,0.490134103050201,"TANGIER SOUND"
"WTEMP",0.0045629408802352,1,0.946144221737724,0.994436354651747,"HOLLAND STRAITS"
"SALINITY",3.79200441061825,1,0.0514979443565876,0.196628514816062,"HOLLAND STRAITS"
"WTEMP:SALINITY",0.122096769008105,1,0.726771407729869,0.938520825849707,"HOLLAND STRAITS"
"WTEMP",0.137689934772469,1,0.710588415883595,0.938520825849707,"POCOMOKE SOUND"
"SALINITY",14.0908383705027,1,0.000174190157200877,0.00121933110040614,"POCOMOKE SOUND"
"WTEMP:SALINITY",0.495850340460987,1,0.48132914342464,0.808632960953396,"POCOMOKE SOUND"
"WTEMP",0.28396764139928,1,0.594112398021964,0.881399199147152,"RAPPAHANNOCK RIVER"
"SALINITY",143.193586569323,1,5.33217416974592e-33,4.47902630258657e-31,"RAPPAHANNOCK RIVER"
"WTEMP:SALINITY",0.0524562389643116,1,0.818843057263112,0.968772067747907,"RAPPAHANNOCK RIVER"
