"term","statistic","df","p.value","fdr.p.value","Region"
"WTEMP",1.73192776413696,1,0.188164891394331,0.329288559940079,"NANTICOKE RIVER"
"SALINITY",30.7704121906125,1,2.90432605329411e-08,1.25109429988054e-07,"NANTICOKE RIVER"
"WTEMP",0.285706627730669,1,0.592985052749713,0.721894846825737,"UPPER BAY"
"SALINITY",8.80955905206444,1,0.00299656444084498,0.00729598298640516,"UPPER BAY"
"WTEMP",1.65008176590952,1,0.198947802681314,0.337608392428897,"CHESTER RIVER"
"SALINITY",33.4170435206828,1,7.43693685834326e-09,3.78607694606566e-08,"CHESTER RIVER"
"WTEMP",0.891252502053627,1,0.345138117323896,0.508624593951005,"EASTERN BAY"
"SALINITY",119.209724384261,1,9.42218827076773e-28,1.75880847720998e-26,"EASTERN BAY"
"WTEMP",4.6881415117631,1,0.0303714801800707,0.06541549577246,"WYE RIVER"
"SALINITY",92.4183397172906,1,7.01608891929779e-22,7.85801958961353e-21,"WYE RIVER"
"WTEMP",3.17858660130516,1,0.0746092409545266,0.13477798365979,"MILES RIVER"
"SALINITY",74.1890995584098,1,7.09811646913284e-18,5.67849317530627e-17,"MILES RIVER"
"WTEMP",0.161499429676498,1,0.687779763806891,0.819482271769913,"BROAD CREEK"
"SALINITY",13.5231228490648,1,0.000235641972313954,0.000733108358310079,"BROAD CREEK"
"WTEMP",1.04576221260326,1,0.306485110142642,0.476754615777443,"HARRIS CREEK"
"SALINITY",5.27712093510958,1,0.0216074488327798,0.0484006853854268,"HARRIS CREEK"
"WTEMP",4.32806512220272,1,0.0374888380746805,0.0749776761493609,"CHOPTANK RIVER"
"SALINITY",170.120201080937,1,6.96487659180277e-39,1.95016544570478e-37,"CHOPTANK RIVER"
"WTEMP",1.17685436506301,1,0.277997315897525,0.44479570543604,"LITTLE CHOPTANK RIVER"
"SALINITY",23.1937989617903,1,1.46468867049444e-06,5.46817103651258e-06,"LITTLE CHOPTANK RIVER"
"WTEMP",1.59118380106558,1,0.207157083191343,0.341199901726918,"PATUXENT RIVER"
"SALINITY",72.4423695243371,1,1.71981634226903e-17,1.20387143958832e-16,"PATUXENT RIVER"
"WTEMP",5.57058705145942,1,0.0182646362241931,0.0426174845231173,"MIDDLE BAY"
"SALINITY",83.6974655790942,1,5.76591027537293e-20,5.38151625701474e-19,"MIDDLE BAY"
"WTEMP",0.00236377189005308,1,0.961223217134177,0.961223217134177,"MANOKIN RIVER"
"SALINITY",11.7630804813179,1,0.000604171547135563,0.00178071613892587,"MANOKIN RIVER"
"WTEMP",0.0226097525675415,1,0.880476340162382,0.913086574983211,"POTOMAC RIVER"
"SALINITY",33.2462323623936,1,8.11969206221295e-09,3.78918962903271e-08,"POTOMAC RIVER"
"WTEMP",0.474009567119799,1,0.491148340251734,0.625097887593116,"LOWER BAY"
"SALINITY",4.41297831808645,1,0.0356665184770538,0.0739750012857413,"LOWER BAY"
"WTEMP",0.705091883007512,1,0.401078018912527,0.561509226477537,"FISHING BAY"
"SALINITY",0.617561916788787,1,0.43195473838648,0.580913389976518,"FISHING BAY"
"WTEMP",0.552425267107202,1,0.457328421159823,0.595590501975583,"HONGA RIVER"
"SALINITY",0.607620766552439,1,0.435685042482389,0.580913389976518,"HONGA RIVER"
"WTEMP",0.111319662235809,1,0.738646692264901,0.836075278346131,"TANGIER SOUND"
"SALINITY",8.92795463985223,1,0.00280838669555237,0.00714862067958784,"TANGIER SOUND"
"WTEMP",0.0407304057466737,1,0.840059201610479,0.887609722456355,"HOLLAND STRAITS"
"SALINITY",9.76875124327981,1,0.00177502974124756,0.00473341264332682,"HOLLAND STRAITS"
"WTEMP",0.00262251278671927,1,0.959157804667574,0.961223217134177,"POCOMOKE SOUND"
"SALINITY",16.7620599855289,1,4.23720890061904e-05,0.000148302311521666,"POCOMOKE SOUND"
"WTEMP",4.23256665412619,1,0.0396554297275827,0.0765760022325735,"RAPPAHANNOCK RIVER"
"SALINITY",214.166614331412,1,1.69383100676029e-48,9.48545363785763e-47,"RAPPAHANNOCK RIVER"
"WTEMP",0.0984932007430238,1,0.753645399979307,0.836075278346131,"GREAT WICOMICO RIVER"
"SALINITY",61.2959479759767,1,4.9108997881097e-15,3.05567097926826e-14,"GREAT WICOMICO RIVER"
"WTEMP",0.98941217882951,1,0.319886085564839,0.484151913287324,"CORROTOMAN RIVER"
"SALINITY",3.66727830199952,1,0.0554907288097471,0.103582693778195,"CORROTOMAN RIVER"
"WTEMP",0.711048567820222,1,0.399095932433782,0.561509226477537,"PIANKATANK RIVER"
"SALINITY",16.2595673613378,1,5.52299986529124e-05,0.000181934113209594,"PIANKATANK RIVER"
"WTEMP",0.0921784999044396,1,0.761425699922369,0.836075278346131,"YORK RIVER"
"SALINITY",0.309426287332597,1,0.578032451877634,0.719329273447722,"YORK RIVER"
"WTEMP",0.069438463089917,1,0.79215613803183,0.85309122557274,"MOBJACK BAY"
"SALINITY",24.9139628720491,1,5.99466690276047e-07,2.39786676110419e-06,"MOBJACK BAY"
"WTEMP",10.5788774509847,1,0.00114387096286888,0.00320283869603288,"JAMES RIVER"
"SALINITY",104.891514951855,1,1.29009213924526e-24,1.80612899494337e-23,"JAMES RIVER"
"WTEMP",0.125892987249514,1,0.722728926072473,0.836075278346131,"ST MARY'S RIVER"
"SALINITY",58.5468056441801,1,1.98511711298287e-14,1.1116655832704e-13,"ST MARY'S RIVER"
